"from_id","from_cat","to_id","to_cat"
"obf-2f39e379-fb3b-4776-bcf8-5d7044c0bef7","target_access_cloud_resources","mact-d9088728-947d-4dd0-a3d1-b7692ab3c9f1","connectivity_latency_kubelet_scope"
"obf-686b23f5-bcce-4c68-a6e5-fcf31a7f6ed8","target_data_destruction","mact-d9088728-947d-4dd0-a3d1-b7692ab3c9f1","connectivity_latency_kubelet_scope"
"obf-2f39e379-fb3b-4776-bcf8-5d7044c0bef7","target_access_cloud_resources","mact-02528e65-c88d-4434-80ff-99d3b326e001","connectivity_jitter_container_scope"
"obf-cce83cd7-20ee-4a03-b731-51df2c399b4c","target_new_container","mact-e364eb43-996a-4077-ad96-2bfe36dfc69c","pod_bash_container_create_activity"
"obf-5a728e27-6359-433e-b673-ab863b561427","target_malicious_admission_controller","mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b","privilege_escalation"
"obf-63d3ac25-85f8-4c5b-b2e2-cce25363560e","target_cluster_internal_networking","mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712","rbac_config_update_activity"
"obf-be003bad-fc60-4ba7-868d-194f909d4c4b","target_vulnerable_application","mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b","privilege_escalation"
"obf-d4286f4c-e286-48ca-a2d5-8f5089fff410","target_writable_volume_mounts_on_the_host","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec","configmap_config_update_activity"
"obf-47087c4a-ac12-4f51-815a-233ac60b827c","target_network_mapping","mact-3cfe4f2c-7d3b-4988-8bcd-b08b28c96e4e","profiled_audit_logging_activity"
"obf-cce83cd7-20ee-4a03-b731-51df2c399b4c","target_new_container","mact-26b34fef-27d0-4145-a138-15c4d63f03a2","connectivity_jitter_kubelet_scope"
"obf-0c3de308-f0f5-44d8-a4a2-dd3d74452216","target_clear_container_logs","mact-9a9885eb-589d-4836-8902-a2266e628652","network_config_update_activity"
"obf-5e8ee7c7-27a0-4cda-ba17-6cd931afc43c","target_list_kubernetes_secrets","mact-9a9885eb-589d-4836-8902-a2266e628652","network_config_update_activity"
"obf-5e8ee7c7-27a0-4cda-ba17-6cd931afc43c","target_list_kubernetes_secrets","mact-26b34fef-27d0-4145-a138-15c4d63f03a2","connectivity_jitter_kubelet_scope"
"obf-5163e382-6b2b-4cc8-bf47-22a2e1e8e346","target_exec_into_container","mact-02528e65-c88d-4434-80ff-99d3b326e001","connectivity_jitter_container_scope"
"obf-5e328d1a-c14d-4031-99c0-d107731563e3","target_pod_container_name_similarity","mact-9a9885eb-589d-4836-8902-a2266e628652","network_config_update_activity"
"obf-d7f52f90-7169-41fa-97e3-31f1488aa7da","target_ssh_server_running_inside_container","mact-26b34fef-27d0-4145-a138-15c4d63f03a2","connectivity_jitter_kubelet_scope"
"obf-686b23f5-bcce-4c68-a6e5-fcf31a7f6ed8","target_data_destruction","mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b","privilege_escalation"
"obf-4e32dea8-742d-474f-bf43-bbfce4656239","target_sidecar_injection","mact-02528e65-c88d-4434-80ff-99d3b326e001","connectivity_jitter_container_scope"
"obf-2f39e379-fb3b-4776-bcf8-5d7044c0bef7","target_access_cloud_resources","mact-9a9885eb-589d-4836-8902-a2266e628652","network_config_update_activity"
"obf-e9238385-bcec-4866-9493-2fb6b9129c04","target_access_kubelet_api","mact-26b34fef-27d0-4145-a138-15c4d63f03a2","connectivity_jitter_kubelet_scope"
"obf-4e32dea8-742d-474f-bf43-bbfce4656239","target_sidecar_injection","mact-9a9885eb-589d-4836-8902-a2266e628652","network_config_update_activity"
"obf-0c7a8541-1cf9-4cce-85d8-5824104289cf","target_access_the_kubernetes_api_server","mact-7b411daa-2993-46f7-9883-88ed9410a66c","connectivity_latency_container_scope"
"obf-be003bad-fc60-4ba7-868d-194f909d4c4b","target_vulnerable_application","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec","configmap_config_update_activity"
"obf-e642da19-c9bb-47eb-85f9-3400d5376c57","target_writable_hostpath_mount","mact-7b411daa-2993-46f7-9883-88ed9410a66c","connectivity_latency_container_scope"
"obf-8c302563-5294-498c-95a4-b96daf9ed5e1","target_coredns_poisoning","mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b","privilege_escalation"
"obf-24660362-fa61-411c-9f82-8f6e107b1b2c","target_delete_kubernetes_events","mact-02528e65-c88d-4434-80ff-99d3b326e001","connectivity_jitter_container_scope"
"obf-d7f52f90-7169-41fa-97e3-31f1488aa7da","target_ssh_server_running_inside_container","mact-7b411daa-2993-46f7-9883-88ed9410a66c","connectivity_latency_container_scope"
"obf-686b23f5-bcce-4c68-a6e5-fcf31a7f6ed8","target_data_destruction","mact-9a9885eb-589d-4836-8902-a2266e628652","network_config_update_activity"
"obf-e9238385-bcec-4866-9493-2fb6b9129c04","target_access_kubelet_api","mact-9a9885eb-589d-4836-8902-a2266e628652","network_config_update_activity"
"obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k","global_obstate","mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b","privilege_escalation"
"obf-e9238385-bcec-4866-9493-2fb6b9129c04","target_access_kubelet_api","mact-3cfe4f2c-7d3b-4988-8bcd-b08b28c96e4e","profiled_audit_logging_activity"
"obf-cce83cd7-20ee-4a03-b731-51df2c399b4c","target_new_container","mact-02528e65-c88d-4434-80ff-99d3b326e001","connectivity_jitter_container_scope"
"obf-40c10504-94ed-4e29-8caa-18eb049a7c0c","target_compromised_images_in_registry","mact-26b34fef-27d0-4145-a138-15c4d63f03a2","connectivity_jitter_kubelet_scope"
"obf-47087c4a-ac12-4f51-815a-233ac60b827c","target_network_mapping","mact-d9088728-947d-4dd0-a3d1-b7692ab3c9f1","connectivity_latency_kubelet_scope"
