src_id,dst_id
ktech-f0a70cc6-83e5-49e2-aa52-a3068c7304ef,kobs_state-3c52653e-d403-11ec-a26f-00155d8545fd
ktech-f0a70cc6-83e5-49e2-aa52-a3068c7304ef,kobs_state-3c52661f-d403-11ec-ba95-00155d8545fd
ktech-f0a70cc6-83e5-49e2-aa52-a3068c7304ef,kobs_state-3c526672-d403-11ec-81a6-00155d8545fd
ktech-f0a70cc6-83e5-49e2-aa52-a3068c7304ef,kobs_state-3c5266b8-d403-11ec-a7fa-00155d8545fd
ktech-f0a70cc6-83e5-49e2-aa52-a3068c7304ef,kobs_state-3c5266f5-d403-11ec-bedf-00155d8545fd
ktech-f0a70cc6-83e5-49e2-aa52-a3068c7304ef,kobs_state-3c526730-d403-11ec-9897-00155d8545fd
ktech-f0a70cc6-83e5-49e2-aa52-a3068c7304ef,kobs_state-3c52676c-d403-11ec-bcbc-00155d8545fd
ktech-f0a70cc6-83e5-49e2-aa52-a3068c7304ef,kobs_state-3c5267a2-d403-11ec-81b8-00155d8545fd
ktech-f0a70cc6-83e5-49e2-aa52-a3068c7304ef,kobs_state-3c5267d8-d403-11ec-8cc7-00155d8545fd
ktech-f0a70cc6-83e5-49e2-aa52-a3068c7304ef,kobs_state-3c52680f-d403-11ec-b6f7-00155d8545fd
ktech-b887aec6-ea88-49e3-b349-3c0797c4723d,kobs_state-3c527ca6-d403-11ec-b1b5-00155d8545fd
ktech-b887aec6-ea88-49e3-b349-3c0797c4723d,kobs_state-3c527d03-d403-11ec-8c96-00155d8545fd
ktech-b887aec6-ea88-49e3-b349-3c0797c4723d,kobs_state-3c527e20-d403-11ec-882b-00155d8545fd
ktech-b887aec6-ea88-49e3-b349-3c0797c4723d,kobs_state-3c527e73-d403-11ec-b1b3-00155d8545fd
ktech-b887aec6-ea88-49e3-b349-3c0797c4723d,kobs_state-3c527eaf-d403-11ec-92c1-00155d8545fd
ktech-b887aec6-ea88-49e3-b349-3c0797c4723d,kobs_state-3c527ee7-d403-11ec-a006-00155d8545fd
ktech-b887aec6-ea88-49e3-b349-3c0797c4723d,kobs_state-3c527f21-d403-11ec-8105-00155d8545fd
ktech-b887aec6-ea88-49e3-b349-3c0797c4723d,kobs_state-3c527f59-d403-11ec-a734-00155d8545fd
ktech-b887aec6-ea88-49e3-b349-3c0797c4723d,kobs_state-3c527f90-d403-11ec-8abe-00155d8545fd
ktech-b887aec6-ea88-49e3-b349-3c0797c4723d,kobs_state-3c527fcd-d403-11ec-a451-00155d8545fd
ktech-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c,kobs_state-3c529430-d403-11ec-8903-00155d8545fd
ktech-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c,kobs_state-3c52948c-d403-11ec-8457-00155d8545fd
ktech-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c,kobs_state-3c5294cb-d403-11ec-b915-00155d8545fd
ktech-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c,kobs_state-3c529502-d403-11ec-a953-00155d8545fd
ktech-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c,kobs_state-3c529538-d403-11ec-b86e-00155d8545fd
ktech-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c,kobs_state-3c52956c-d403-11ec-8df7-00155d8545fd
ktech-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c,kobs_state-3c5295a2-d403-11ec-b8cb-00155d8545fd
ktech-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c,kobs_state-3c5295d6-d403-11ec-870c-00155d8545fd
ktech-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c,kobs_state-3c529609-d403-11ec-9049-00155d8545fd
ktech-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c,kobs_state-3c52963c-d403-11ec-952b-00155d8545fd
ktech-5e328d1a-c14d-4031-99c0-d107731563e3,kobs_state-3c52af03-d403-11ec-aac7-00155d8545fd
ktech-5e328d1a-c14d-4031-99c0-d107731563e3,kobs_state-3c52af5d-d403-11ec-b9ea-00155d8545fd
ktech-5e328d1a-c14d-4031-99c0-d107731563e3,kobs_state-3c52af9c-d403-11ec-aa85-00155d8545fd
ktech-5e328d1a-c14d-4031-99c0-d107731563e3,kobs_state-3c52b01c-d403-11ec-ba28-00155d8545fd
ktech-5e328d1a-c14d-4031-99c0-d107731563e3,kobs_state-3c52b059-d403-11ec-8113-00155d8545fd
ktech-5e328d1a-c14d-4031-99c0-d107731563e3,kobs_state-3c52b091-d403-11ec-a298-00155d8545fd
ktech-5e328d1a-c14d-4031-99c0-d107731563e3,kobs_state-3c52b0c9-d403-11ec-860d-00155d8545fd
ktech-5e328d1a-c14d-4031-99c0-d107731563e3,kobs_state-3c52b0fe-d403-11ec-b753-00155d8545fd
ktech-5e328d1a-c14d-4031-99c0-d107731563e3,kobs_state-3c52b133-d403-11ec-82ac-00155d8545fd
ktech-5e328d1a-c14d-4031-99c0-d107731563e3,kobs_state-3c52b16d-d403-11ec-8407-00155d8545fd
ktech-312017d6-1fbe-4ad1-abe5-97c411d6c9f7,kobs_state-3c52c5d5-d403-11ec-ab32-00155d8545fd
ktech-312017d6-1fbe-4ad1-abe5-97c411d6c9f7,kobs_state-3c52c630-d403-11ec-8a39-00155d8545fd
ktech-312017d6-1fbe-4ad1-abe5-97c411d6c9f7,kobs_state-3c52c670-d403-11ec-a3a9-00155d8545fd
ktech-312017d6-1fbe-4ad1-abe5-97c411d6c9f7,kobs_state-3c52c6aa-d403-11ec-8e56-00155d8545fd
ktech-312017d6-1fbe-4ad1-abe5-97c411d6c9f7,kobs_state-3c52c6e2-d403-11ec-b337-00155d8545fd
ktech-312017d6-1fbe-4ad1-abe5-97c411d6c9f7,kobs_state-3c52c717-d403-11ec-a9f5-00155d8545fd
ktech-312017d6-1fbe-4ad1-abe5-97c411d6c9f7,kobs_state-3c52c74d-d403-11ec-8678-00155d8545fd
ktech-312017d6-1fbe-4ad1-abe5-97c411d6c9f7,kobs_state-3c52c782-d403-11ec-82b0-00155d8545fd
ktech-312017d6-1fbe-4ad1-abe5-97c411d6c9f7,kobs_state-3c52c7b7-d403-11ec-95ce-00155d8545fd
ktech-312017d6-1fbe-4ad1-abe5-97c411d6c9f7,kobs_state-3c52c7ec-d403-11ec-93ae-00155d8545fd
ktech-47087c4a-ac12-4f51-815a-233ac60b827c,kobs_state-3c52dfb1-d403-11ec-86f7-00155d8545fd
ktech-47087c4a-ac12-4f51-815a-233ac60b827c,kobs_state-3c52e00a-d403-11ec-b068-00155d8545fd
ktech-47087c4a-ac12-4f51-815a-233ac60b827c,kobs_state-3c52e047-d403-11ec-babc-00155d8545fd
ktech-47087c4a-ac12-4f51-815a-233ac60b827c,kobs_state-3c52e07f-d403-11ec-84ba-00155d8545fd
ktech-47087c4a-ac12-4f51-815a-233ac60b827c,kobs_state-3c52e0b5-d403-11ec-ab63-00155d8545fd
ktech-47087c4a-ac12-4f51-815a-233ac60b827c,kobs_state-3c52e0eb-d403-11ec-bda3-00155d8545fd
ktech-47087c4a-ac12-4f51-815a-233ac60b827c,kobs_state-3c52e122-d403-11ec-93f4-00155d8545fd
ktech-47087c4a-ac12-4f51-815a-233ac60b827c,kobs_state-3c52e158-d403-11ec-9804-00155d8545fd
ktech-47087c4a-ac12-4f51-815a-233ac60b827c,kobs_state-3c52e18e-d403-11ec-9be5-00155d8545fd
ktech-47087c4a-ac12-4f51-815a-233ac60b827c,kobs_state-3c52e1c2-d403-11ec-bfaf-00155d8545fd
ktech-be003bad-fc60-4ba7-868d-194f909d4c4b,kobs_state-3c5303a4-d403-11ec-8a9e-00155d8545fd
ktech-be003bad-fc60-4ba7-868d-194f909d4c4b,kobs_state-3c530404-d403-11ec-972e-00155d8545fd
ktech-be003bad-fc60-4ba7-868d-194f909d4c4b,kobs_state-3c530444-d403-11ec-bbb6-00155d8545fd
ktech-be003bad-fc60-4ba7-868d-194f909d4c4b,kobs_state-3c53047e-d403-11ec-ad6a-00155d8545fd
ktech-be003bad-fc60-4ba7-868d-194f909d4c4b,kobs_state-3c5304b5-d403-11ec-bd20-00155d8545fd
