node_id,label,feat
kmeasure-3c4e774f-d403-11ec-a7e3-00155d8545fd,10002,"0, 1.0"
kmeasure-3c4fdb0a-d403-11ec-aaa3-00155d8545fd,10025,"0, 1.0"
kmeasure-3c4c77e7-d403-11ec-a0b9-00155d8545fd,10010,"0, 1.0"
kmeasure-3c4d5a27-d403-11ec-b202-00155d8545fd,10030,"0.00955131379315896, 1.0"
kmeasure-3c4d54e5-d403-11ec-89eb-00155d8545fd,10030,"0.0970527243958976, 1.0"
kmeasure-3c4aeb41-d403-11ec-9772-00155d8545fd,10001,"0, 1.0"
kmeasure-3c4cfa6a-d403-11ec-8ae2-00155d8545fd,10007,"0.0613325736573472, 1.0"
kmeasure-3c4c5354-d403-11ec-9e36-00155d8545fd,10014,"0.0416206239033329, 1.0"
kmeasure-3c4b81bd-d403-11ec-b42c-00155d8545fd,10015,"0.00074676436126602, 1.0"
kmeasure-3c49abe7-d403-11ec-a7af-00155d8545fd,10031,"0, 1.0"
kmeasure-3c4f91ce-d403-11ec-905a-00155d8545fd,10020,"0.00223833700539648, 1.0"
kmeasure-3c4e7094-d403-11ec-8443-00155d8545fd,10002,"0, 1.0"
kmeasure-3c4f7f02-d403-11ec-a854-00155d8545fd,10020,"0, 1.0"
kmeasure-3c4b6ee8-d403-11ec-874b-00155d8545fd,10015,"0, 1.0"
kmeasure-3c49ed47-d403-11ec-b293-00155d8545fd,10022,"0, 1.0"
kmeasure-3c4f9f7e-d403-11ec-a3d9-00155d8545fd,10013,"0.0100607774840763, 1.0"
kmeasure-3c4b74f8-d403-11ec-9bea-00155d8545fd,10015,"0.00074184796533303, 1.0"
kmeasure-3c4ee668-d403-11ec-89b5-00155d8545fd,10032,"0, 1.0"
kmeasure-3c4b692b-d403-11ec-bf81-00155d8545fd,10015,"0.00100373547044684, 1.0"
kmeasure-3c4a8a60-d403-11ec-bc64-00155d8545fd,10023,"0, 1.0"
kmeasure-3c4a5433-d403-11ec-b5b9-00155d8545fd,10011,"0.215067010843192, 1.0"
kmeasure-3c49b4d6-d403-11ec-9d1f-00155d8545fd,10031,"0.000659656927440801, 1.0"
kmeasure-3c4a1812-d403-11ec-a377-00155d8545fd,10027,"0.000102360930593146, 1.0"
kmeasure-3c4c7373-d403-11ec-900c-00155d8545fd,10010,"0.000572155243610039, 1.0"
kmeasure-3c505f0d-d403-11ec-9432-00155d8545fd,10021,"0.0067669126637365, 1.0"
kmeasure-3c4baeed-d403-11ec-8370-00155d8545fd,10028,"0.12236722112369, 1.0"
