"m_ktech_id","tactic_id"
"attack-pattern--e51137a5-1cdc-499e-911a-abaedaa5ac86","TA0005"
"attack-pattern--6151cbea-819b-455a-9fa6-99a1cc58797d","TA0005"
"attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81","TA0001"
"attack-pattern--c675646d-e204-4aa8-978d-e3d6d65885c4","TA0040"
"attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839","TA0004"
"attack-pattern--36b2a1d7-e09e-49bf-b45e-477076c2ec01","TA0040"
"attack-pattern--4eb28bed-d11a-4641-9863-c2ac017d910a","TA0005"
"attack-pattern--fdc47f44-dd32-4b99-af5f-209f556f63c2","TA0004"
"attack-pattern--0bda01d5-4c1d-4062-8ee2-6872334383c3","TA0040"
"attack-pattern--19bf235b-8620-4997-b5b4-94e0659ed7c3","TA0006"
"attack-pattern--2bce5b30-7014-4a5d-ade7-12913fe6ac36","TA0005"
"attack-pattern--7b50a1d3-4ca7-45d1-989d-a6503f04bfe1","TA0001"
"attack-pattern--837f9164-50af-4ac0-8219-379d8a74cefc","TA0006"
"attack-pattern--8d7bd4f5-3a89-4453-9c82-2c8894d5655e","TA0006"
"attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2","TA0005"
"attack-pattern--6151cbea-819b-455a-9fa6-99a1cc58797d","TA0003"
"attack-pattern--341e222a-a6e3-4f6f-b69c-831d792b1580","TA0006"
"attack-pattern--cacc40da-4c9e-462c-80d5-fd70a178b12d","TA0005"
"attack-pattern--a542bac9-7bc1-4da7-9a09-96f69e23cc21","TA0003"
"attack-pattern--2acf44aa-542f-4366-b4eb-55ef5747759c","TA0003"
"attack-pattern--74d2a63f-3c7b-4852-92da-02d8fbab16da","TA0005"
"attack-pattern--b4b7458f-81f2-4d38-84be-1c5ba0167a52","TA0005"
"attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9","TA0004"
"attack-pattern--fdc47f44-dd32-4b99-af5f-209f556f63c2","TA0003"
"attack-pattern--6151cbea-819b-455a-9fa6-99a1cc58797d","TA0001"
"attack-pattern--c3d4bdd9-2cfe-4a80-9d0c-07a29ecdce8f","TA0001"
"attack-pattern--56e0d8b8-3e25-49dd-9050-3aa252f5aa92","TA0001"
"attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81","TA0004"
"attack-pattern--232b7f21-adf9-4b42-b936-b9d6f7df856e","TA0001"
"attack-pattern--5372c5fe-f424-4def-bcd5-d3a8e770f07b","TA0005"
"attack-pattern--4a5b7ade-8bb5-4853-84ed-23f262002665","TA0004"
"attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5","TA0001"
"attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69","TA0005"
"attack-pattern--f232fa7a-025c-4d43-abc7-318e81a73d65","TA0004"
"attack-pattern--2bee5ffb-7a7a-4119-b1f2-158151b19ac0","TA0040"
"attack-pattern--c3d4bdd9-2cfe-4a80-9d0c-07a29ecdce8f","TA0003"
"attack-pattern--c3d4bdd9-2cfe-4a80-9d0c-07a29ecdce8f","TA0005"
"attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd","TA0006"
"attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c","TA0005"
"attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119","TA0006"
"attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d","TA0003"
"attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81","TA0005"
"attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9","TA0003"
"attack-pattern--a542bac9-7bc1-4da7-9a09-96f69e23cc21","TA0001"
"attack-pattern--f232fa7a-025c-4d43-abc7-318e81a73d65","TA0005"
"attack-pattern--cd25c1b4-935c-4f0e-ba8d-552f28bc4783","TA0040"
"attack-pattern--824add00-99a1-4b15-9a2d-6c5683b7b497","TA0005"
"attack-pattern--d74c4a7e-ffbf-432f-9365-7ebf1f787cab","TA0040"
"attack-pattern--60b508a1-6a5e-46b1-821a-9f7b78752abf","TA0006"
"attack-pattern--6151cbea-819b-455a-9fa6-99a1cc58797d","TA0004"
"attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529","TA0005"
"attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9","TA0004"
"attack-pattern--2acf44aa-542f-4366-b4eb-55ef5747759c","TA0001"
"attack-pattern--3f886f2a-874f-4333-b794-aa6075009b1c","TA0001"
"attack-pattern--f8ef3a62-3f44-40a4-abca-761ab235c436","TA0006"
"attack-pattern--ef67e13e-5598-4adc-bdb2-998225874fa9","TA0001"
"attack-pattern--a01bf75f-00b2-4568-a58f-565ff9bf202b","TA0007"
"attack-pattern--fdc47f44-dd32-4b99-af5f-209f556f63c2","TA0005"
"attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9","TA0001"
"attack-pattern--ac08589e-ee59-4935-8667-d845e38fe579","TA0005"
"attack-pattern--56e0d8b8-3e25-49dd-9050-3aa252f5aa92","TA0005"
"attack-pattern--a542bac9-7bc1-4da7-9a09-96f69e23cc21","TA0004"
"attack-pattern--f232fa7a-025c-4d43-abc7-318e81a73d65","TA0003"
"attack-pattern--692074ae-bb62-4a5e-a735-02cb6bde458c","TA0006"
"attack-pattern--77eae145-55db-4519-8ae5-77b0c7215d69","TA0005"
"attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9","TA0003"
"attack-pattern--1126cab1-c700-412f-a510-61f4937bb096","TA0001"
"attack-pattern--a750a9f6-0bde-4bb3-9aae-1e2786e9780c","TA0005"
"attack-pattern--1126cab1-c700-412f-a510-61f4937bb096","TA0004"
"attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d","TA0001"
"attack-pattern--38eb0c22-6caf-46ce-8869-5964bd735858","TA0040"
"attack-pattern--1d24cdee-9ea2-4189-b08e-af110bf2435d","TA0006"
"attack-pattern--11f29a39-0942-4d62-92b6-fe236cf3066e","TA0005"
"attack-pattern--8f504411-cb96-4dac-a537-8d2bb7679c59","TA0005"
"attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0","TA0005"
"attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9","TA0001"
"attack-pattern--15dbf668-795c-41e6-8219-f0447c0e64ce","TA0007"
"attack-pattern--b0c74ef9-c61e-4986-88cb-78da98a355ec","TA0001"
"attack-pattern--8187bd2a-866f-4457-9009-86b0ddedffa3","TA0006"
