id,source_id,target_id
relationship--74dbd1f0-759a-46a1-a598-5c76b2035aef,x-mitre-data-component--85a533a4-5fa4-4dba-b45d-f0717bedd6e6,attack-pattern--18cffc21-3260-437e-80e4-4ab8bf2ba5e9
relationship--93730d1b-d3cb-44f1-be09-654bd2640aef,x-mitre-data-component--9c2fa0ae-7abc-485a-97f6-699e3b6cf9fa,attack-pattern--18cffc21-3260-437e-80e4-4ab8bf2ba5e9
relationship--448cb735-65c8-4346-a97d-1ea31e9b6c11,x-mitre-data-component--3772e279-27d6-477a-9fe3-c6beb363594c,attack-pattern--18cffc21-3260-437e-80e4-4ab8bf2ba5e9
relationship--00069454-a469-4905-97fd-b4057e86d29b,x-mitre-data-component--a7f22107-02e5-4982-9067-6625d4a1765a,attack-pattern--18cffc21-3260-437e-80e4-4ab8bf2ba5e9
relationship--5b8a3669-1d3e-4855-acac-34c60a4a2e02,x-mitre-data-component--85a533a4-5fa4-4dba-b45d-f0717bedd6e6,attack-pattern--2bee5ffb-7a7a-4119-b1f2-158151b19ac0
relationship--499da978-fa64-469e-901a-0d5db2b8b2f3,x-mitre-data-component--9c2fa0ae-7abc-485a-97f6-699e3b6cf9fa,attack-pattern--2bee5ffb-7a7a-4119-b1f2-158151b19ac0
relationship--829983b8-86ba-48e7-97cb-bad42fd3e888,x-mitre-data-component--3772e279-27d6-477a-9fe3-c6beb363594c,attack-pattern--2bee5ffb-7a7a-4119-b1f2-158151b19ac0
relationship--ae51e82a-ef28-4598-8dc2-fe719e15a577,x-mitre-data-component--a7f22107-02e5-4982-9067-6625d4a1765a,attack-pattern--2bee5ffb-7a7a-4119-b1f2-158151b19ac0
relationship--31f6ef12-fb2c-4a14-a760-5ceb973b6be6,x-mitre-data-component--f42df6f0-6395-4f0c-9376-525a031f00c3,attack-pattern--6636bc83-0611-45a6-b74f-1f3daf635b8e
relationship--de33ba44-8707-4c8f-8707-f414c414fd0d,x-mitre-data-component--685f917a-e95e-4ba0-ade1-c7d354dae6e0,attack-pattern--6636bc83-0611-45a6-b74f-1f3daf635b8e
relationship--a1ebde00-adad-4b51-ace4-9f74de606cdf,x-mitre-data-component--3d20385b-24ef-40e1-9f56-f39750379077,attack-pattern--6636bc83-0611-45a6-b74f-1f3daf635b8e
