"kobs_id","kmeasure_id"
"obf-686b23f5-bcce-4c68-a6e5-fcf31a7f6ed8","mact-9a9885eb-589d-4836-8902-a2266e628652"
"obf-d7f52f90-7169-41fa-97e3-31f1488aa7da","mact-d9088728-947d-4dd0-a3d1-b7692ab3c9f1"
"obf-e642da19-c9bb-47eb-85f9-3400d5376c57","mact-5e98f8ec-2cf0-495b-aa69-b1fc065079c0"
"obf-be003bad-fc60-4ba7-868d-194f909d4c4b","mact-9a9885eb-589d-4836-8902-a2266e628652"
"obf-4aa2cc22-e6a0-4699-9d60-15650f4dc74f","mact-26b34fef-27d0-4145-a138-15c4d63f03a2"
"obf-cce83cd7-20ee-4a03-b731-51df2c399b4c","mact-26b34fef-27d0-4145-a138-15c4d63f03a2"
"obf-cce3dfde-fcbc-4972-b666-e50403edb23e","mact-d9088728-947d-4dd0-a3d1-b7692ab3c9f1"
"obf-8c302563-5294-498c-95a4-b96daf9ed5e1","mact-7b411daa-2993-46f7-9883-88ed9410a66c"
"obf-4aa2cc22-e6a0-4699-9d60-15650f4dc74f","mact-9a9885eb-589d-4836-8902-a2266e628652"
"obf-24660362-fa61-411c-9f82-8f6e107b1b2c","mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b"
"obf-4aa2cc22-e6a0-4699-9d60-15650f4dc74f","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
"obf-e0117c66-e93b-4f5d-b484-1310c38f2fa1","mact-7b411daa-2993-46f7-9883-88ed9410a66c"
"obf-2480daf0-c14e-4db9-9adb-46b00df4da5e","mact-7b411daa-2993-46f7-9883-88ed9410a66c"
"obf-4a67ed7a-7387-4ff4-a610-0060a02d2eb8","mact-02528e65-c88d-4434-80ff-99d3b326e001"
"obf-9300e8ea-52e6-4368-82a2-42f8afd594e2","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
"obf-336f8b2c-71f1-47f6-b1c7-6e2b7b2d122d","mact-7b411daa-2993-46f7-9883-88ed9410a66c"
"obf-5163e382-6b2b-4cc8-bf47-22a2e1e8e346","mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b"
"obf-4e32dea8-742d-474f-bf43-bbfce4656239","mact-9a9885eb-589d-4836-8902-a2266e628652"
"obf-40c10504-94ed-4e29-8caa-18eb049a7c0c","mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b"
"obf-40c10504-94ed-4e29-8caa-18eb049a7c0c","mact-9a9885eb-589d-4836-8902-a2266e628652"
"obf-312017d6-1fbe-4ad1-abe5-97c411d6c9f7","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
"obf-336f8b2c-71f1-47f6-b1c7-6e2b7b2d122d","mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b"
"obf-5e328d1a-c14d-4031-99c0-d107731563e3","mact-cbf5c23d-2579-4dfd-b791-8cbe8a299467"
"obf-e642da19-c9bb-47eb-85f9-3400d5376c57","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
"obf-4a67ed7a-7387-4ff4-a610-0060a02d2eb8","mact-9a9885eb-589d-4836-8902-a2266e628652"
"obf-e0117c66-e93b-4f5d-b484-1310c38f2fa1","mact-26b34fef-27d0-4145-a138-15c4d63f03a2"
"obf-5e8ee7c7-27a0-4cda-ba17-6cd931afc43c","mact-9a9885eb-589d-4836-8902-a2266e628652"
"obf-2480daf0-c14e-4db9-9adb-46b00df4da5e","mact-bf296e99-c642-4b30-b3fc-a925c203448d"
"obf-2f39e379-fb3b-4776-bcf8-5d7044c0bef7","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
"obf-e9238385-bcec-4866-9493-2fb6b9129c04","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
"obf-8c302563-5294-498c-95a4-b96daf9ed5e1","mact-02528e65-c88d-4434-80ff-99d3b326e001"
"obf-9300e8ea-52e6-4368-82a2-42f8afd594e2","mact-26b34fef-27d0-4145-a138-15c4d63f03a2"
"obf-40c10504-94ed-4e29-8caa-18eb049a7c0c","mact-d9088728-947d-4dd0-a3d1-b7692ab3c9f1"
"obf-5e328d1a-c14d-4031-99c0-d107731563e3","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
"obf-cce3dfde-fcbc-4972-b666-e50403edb23e","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
"obf-0c3de308-f0f5-44d8-a4a2-dd3d74452216","mact-7b411daa-2993-46f7-9883-88ed9410a66c"
"obf-b887aec6-ea88-49e3-b349-3c0797c4723d","mact-d9088728-947d-4dd0-a3d1-b7692ab3c9f1"
"obf-e9238385-bcec-4866-9493-2fb6b9129c04","mact-9a9885eb-589d-4836-8902-a2266e628652"
"obf-e0117c66-e93b-4f5d-b484-1310c38f2fa1","mact-d9088728-947d-4dd0-a3d1-b7692ab3c9f1"
"obf-b887aec6-ea88-49e3-b349-3c0797c4723d","mact-02528e65-c88d-4434-80ff-99d3b326e001"
"obf-2f39e379-fb3b-4776-bcf8-5d7044c0bef7","mact-d9088728-947d-4dd0-a3d1-b7692ab3c9f1"
"obf-5e328d1a-c14d-4031-99c0-d107731563e3","mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b"
"obf-cce83cd7-20ee-4a03-b731-51df2c399b4c","mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b"
"obf-c902f00f-97fd-45c0-8753-dace2c608168","mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b"
"obf-e0117c66-e93b-4f5d-b484-1310c38f2fa1","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
"obf-0c7a8541-1cf9-4cce-85d8-5824104289cf","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
