id,source_id,target_id
relationship--a93e5f9f-5c8c-4832-93db-a6c180840a43,course-of-action--d4fd04e0-d1a4-4b5a-a5bb-16683cdbcce2,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d
relationship--5ab4f110-5fd1-466b-9437-0132ae390ac9,course-of-action--65da1eb6-d35d-4853-b280-98a76c0aef53,attack-pattern--3f886f2a-874f-4333-b794-aa6075009b1c
relationship--d2a028a0-3c4f-4984-be51-80dbcf93a1a9,course-of-action--92e6d080-ca3f-4f95-bc45-172a32c4e502,attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839
relationship--dd21c8fe-caf8-40df-b049-787ba465eef7,course-of-action--6cac62ce-550b-4793-8ee6-6a1b8836edb0,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
relationship--3c3f26b3-d676-4e17-adca-2a8ea4643148,course-of-action--d45f03a8-790a-4f90-b956-cd7e5b8886bf,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81
relationship--cade3e14-aab4-4297-b77d-019d3ee0ccef,course-of-action--4a99fecc-680b-448e-8fe7-8144c60d272c,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd
relationship--29be2366-5ffb-4499-9984-525f76525326,course-of-action--548bf7ad-e19c-4d74-84bf-84ac4e57f505,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
relationship--4d6def4b-69cf-4dca-848b-53de73536ad6,course-of-action--dd9a85ad-6a92-4986-a215-b01d0ce7b987,attack-pattern--15dbf668-795c-41e6-8219-f0447c0e64ce
relationship--61528841-379e-4fa3-a233-34c745764c18,course-of-action--45e7f570-6a0b-4095-bf02-4bca05da6bae,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0
relationship--371d43af-ef68-4471-9db9-f2d40d2baefc,course-of-action--d256cb63-b021-4b4a-bb6d-1b42eea179a3,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88
relationship--73f87c11-addb-4900-9180-f2b98a425365,course-of-action--654addf1-47ab-410a-8578-e1a0dc2a49b8,attack-pattern--d74c4a7e-ffbf-432f-9365-7ebf1f787cab
relationship--ef08ec46-915e-4e19-8969-1cdc79a1de4f,course-of-action--82c21600-ccb6-4232-8c04-ef3792b56628,attack-pattern--c675646d-e204-4aa8-978d-e3d6d65885c4
relationship--50818065-cda9-4fe5-ae74-983bb3e436ba,course-of-action--46acc565-11aa-40ba-b629-33ba0ab9b07b,attack-pattern--cd25c1b4-935c-4f0e-ba8d-552f28bc4783
relationship--d1f67e5c-72c6-4e26-91d4-bc8593e61774,course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd
relationship--cb87a0ce-0976-49e5-8e9c-2c908a24b30f,course-of-action--b045d015-6bed-4490-bd38-56b41ece59a0,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd
relationship--c1a6c86e-5d5d-4cf1-845e-1660d9c19baf,course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd
relationship--5d37f644-31c5-414e-9a83-cb6fb36b87e0,course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,attack-pattern--c675646d-e204-4aa8-978d-e3d6d65885c4
relationship--52fcde3f-d3af-4785-940f-5856dd657455,course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,attack-pattern--d74c4a7e-ffbf-432f-9365-7ebf1f787cab
relationship--89887815-acfc-42f9-9172-81437cf9ff69,course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81
relationship--4f24d075-4d6c-49d2-a213-306e4af2083d,course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81
relationship--1d1525e6-74f2-447d-ba11-9e9c9c552403,course-of-action--2a4f6c11-a4a7-4cb9-b0ef-6ae1bb3a718a,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
relationship--66551074-a1e3-439c-a996-c1f7ca8136e2,course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
relationship--225ab1b4-f800-4a92-9949-a0f05fce6213,course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
relationship--8e567361-e2de-4dc6-b953-ec82dc143f58,course-of-action--12241367-a8b7-49b4-b86e-2236901ba50c,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
relationship--d373eebb-b578-4b59-9de1-2946bf837d96,course-of-action--e5d930e9-775a-40ad-9bdb-b941d8dfe86b,attack-pattern--3f886f2a-874f-4333-b794-aa6075009b1c
relationship--0c8fdb59-a28f-4f8f-a788-9e3e8928c6d5,course-of-action--b9f0c069-abbe-4a07-a245-2481219a1463,attack-pattern--3f886f2a-874f-4333-b794-aa6075009b1c
relationship--4d50a045-d85d-481f-ac7d-672065f1e348,course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f,attack-pattern--3f886f2a-874f-4333-b794-aa6075009b1c
relationship--3b726298-74dc-4f8a-b58d-f623bc645124,course-of-action--86598de0-b347-4928-9eb0-0acbfc21908c,attack-pattern--3f886f2a-874f-4333-b794-aa6075009b1c
relationship--22d11711-5794-42aa-a9c5-02895fe3420d,course-of-action--e5d930e9-775a-40ad-9bdb-b941d8dfe86b,attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839
relationship--c6615e27-5984-44b3-82dc-f710c6823834,course-of-action--874c0166-e407-45c2-a1d9-e4e3a6570fd8,attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839
relationship--267fa35c-7748-40eb-87ba-bddc0c88d643,course-of-action--d2a24649-9694-4c97-9c62-ce7b270bf6a3,attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839
relationship--5edeca3e-96aa-45e6-b99b-044e25cb3245,course-of-action--b9f0c069-abbe-4a07-a245-2481219a1463,attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839
relationship--651225d6-5454-4c44-8d62-776bd7ddaed2,course-of-action--12241367-a8b7-49b4-b86e-2236901ba50c,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88
relationship--32d482c4-2c0d-4688-a38b-d73b5b2962a3,course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88
relationship--72de6e56-e5d1-4a3f-aa85-d7155f7ff42c,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0
relationship--4fd3ec25-00ed-48c1-af72-e2523959860e,course-of-action--590777b3-b475-4c7c-aaf8-f4a73b140312,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0
