id,source_id,target_id
relationship--e7c8615b-2dd4-42a9-9535-2deed30ea8d7,attack-pattern--f3d95a1f-bba2-44ce-9af7-37866cd63fd0,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
relationship--d5ffcd6e-be9e-4efe-9822-974f3838c7db,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
relationship--4fabd2f2-9dbf-45f6-80fb-86d410de1e6c,attack-pattern--6636bc83-0611-45a6-b74f-1f3daf635b8e,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
relationship--ae8d9f3e-9243-4702-a305-e4b53cd32351,attack-pattern--8faedf87-dceb-4c35-b2a2-7286f59a3bc3,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
relationship--51194570-630f-4d23-ab45-234a0f048b94,attack-pattern--2acf44aa-542f-4366-b4eb-55ef5747759c,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
relationship--7d8c3d33-941d-4654-b7f4-74381905c98d,attack-pattern--6495ae23-3ab4-43c5-a94f-5638a2c31fd2,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
relationship--78eecb81-4803-48d1-abc0-7667594ea251,attack-pattern--2bce5b30-7014-4a5d-ade7-12913fe6ac36,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
relationship--a31e4c9c-c69d-445e-a669-0b0f6bdaff3e,attack-pattern--3aef9463-9a7a-43ba-8957-a867e07c1e6a,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
relationship--05e3980c-03ae-4624-82d8-0cbcc45705cd,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
relationship--fcfa67b5-03dc-4d92-bc34-0f483d48bc6a,attack-pattern--a750a9f6-0bde-4bb3-9aae-1e2786e9780c,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
relationship--0d06a9f1-fc35-4f35-a628-3515b0686747,attack-pattern--47f2d673-ca62-47e9-929b-1b0be9657611,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
relationship--982441e5-d8f3-4b12-a765-4b503ce5db3b,attack-pattern--837f9164-50af-4ac0-8219-379d8a74cefc,attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517
relationship--adfeb8d8-1ce1-4abe-9861-21e2b26e8caa,attack-pattern--341e222a-a6e3-4f6f-b69c-831d792b1580,attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517
relationship--c49f7336-749e-483b-8873-9283a377546d,attack-pattern--8187bd2a-866f-4457-9009-86b0ddedffa3,attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517
relationship--0be618a0-f752-450f-8838-60c17fabd278,attack-pattern--60b508a1-6a5e-46b1-821a-9f7b78752abf,attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517
relationship--baedd4b3-1fc9-4056-a282-322496a3cceb,attack-pattern--b4b7458f-81f2-4d38-84be-1c5ba0167a52,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0
relationship--5e7f7b93-bf98-4528-b6bc-dc60e47af788,attack-pattern--77eae145-55db-4519-8ae5-77b0c7215d69,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0
relationship--0b24b8de-944d-49ea-a15f-cb732aeb31de,attack-pattern--bd5b58a4-a52d-4a29-bc0d-3f1d3968eb6b,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0
relationship--49c28aef-b7a2-464f-af3d-e104f9edf119,attack-pattern--7bdca9d5-d500-4d7d-8c52-5fd47baf4c0c,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0
relationship--73672e43-5a42-4b6a-934b-a52f57bdd7ac,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0
relationship--10fdc4f4-9f50-40d8-94db-966fcc434a14,attack-pattern--e51137a5-1cdc-499e-911a-abaedaa5ac86,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0
relationship--9529dc44-9a72-49b7-bfea-713356b0f55a,attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd
relationship--18a86d7f-ebe0-4dd7-a5e0-f049c884b607,attack-pattern--1d24cdee-9ea2-4189-b08e-af110bf2435d,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd
relationship--d0934ba2-a4dc-4e1a-8065-84b142ecb01c,attack-pattern--692074ae-bb62-4a5e-a735-02cb6bde458c,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd
relationship--0d2d9b59-a152-4280-ac57-ce5416cbbe61,attack-pattern--b2d03cea-aec1-45ca-9744-9ee583c1e1cc,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd
relationship--fd7ca8e8-82fc-443d-945a-fcef3352ec8a,attack-pattern--19bf235b-8620-4997-b5b4-94e0659ed7c3,attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517
relationship--00814703-3c3b-4872-89e9-cea4ba5edf2d,attack-pattern--8d7bd4f5-3a89-4453-9c82-2c8894d5655e,attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517
relationship--a276f020-9642-4608-8520-fca70866c0d9,attack-pattern--0df05477-c572-4ed6-88a9-47c581f548f7,attack-pattern--c675646d-e204-4aa8-978d-e3d6d65885c4
relationship--87146c3d-f6f3-4800-b74c-50e1b1cbfa9f,attack-pattern--38eb0c22-6caf-46ce-8869-5964bd735858,attack-pattern--c675646d-e204-4aa8-978d-e3d6d65885c4
relationship--32d96aee-4192-4c65-81ef-ced7256c3013,attack-pattern--18cffc21-3260-437e-80e4-4ab8bf2ba5e9,attack-pattern--c675646d-e204-4aa8-978d-e3d6d65885c4
relationship--9131af72-6fa7-4292-b959-05f774e77f7e,attack-pattern--2bee5ffb-7a7a-4119-b1f2-158151b19ac0,attack-pattern--c675646d-e204-4aa8-978d-e3d6d65885c4
relationship--6d8b1f40-48a0-484b-8eea-48195a8bfff2,attack-pattern--ac08589e-ee59-4935-8667-d845e38fe579,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
relationship--639eca67-c21e-49d6-ac62-cf5a26ac6f15,attack-pattern--4eb28bed-d11a-4641-9863-c2ac017d910a,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
relationship--121c5fd3-dc71-4f45-b6dc-4b20a0bde300,attack-pattern--8f504411-cb96-4dac-a537-8d2bb7679c59,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
relationship--15fb0728-9973-4ce4-b0d9-2c177be952c7,attack-pattern--5372c5fe-f424-4def-bcd5-d3a8e770f07b,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
relationship--644b9639-cb87-4d14-a3af-3a6e8688417b,attack-pattern--2aed01ad-3df3-4410-a8cb-11ea4ded587c,attack-pattern--15dbf668-795c-41e6-8219-f0447c0e64ce
relationship--529b0bf7-66f3-47f1-893b-4daa157f7760,attack-pattern--16e94db9-b5b1-4cd0-b851-f38fbd0a70f2,attack-pattern--15dbf668-795c-41e6-8219-f0447c0e64ce
relationship--febaa044-5467-4393-bd13-2d096be02cf4,attack-pattern--0bda01d5-4c1d-4062-8ee2-6872334383c3,attack-pattern--d74c4a7e-ffbf-432f-9365-7ebf1f787cab
relationship--5366199a-400d-49de-96fb-ea393d5f770a,attack-pattern--36b2a1d7-e09e-49bf-b45e-477076c2ec01,attack-pattern--d74c4a7e-ffbf-432f-9365-7ebf1f787cab
relationship--ce39dc03-c3aa-4c6b-9edb-c05c3b934cbd,attack-pattern--ef67e13e-5598-4adc-bdb2-998225874fa9,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
relationship--b2d97276-503d-4fd0-9517-92e05a774de0,attack-pattern--232b7f21-adf9-4b42-b936-b9d6f7df856e,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
relationship--6b46c35d-aa25-430c-89a2-d8f512478122,attack-pattern--a01bf75f-00b2-4568-a58f-565ff9bf202b,attack-pattern--15dbf668-795c-41e6-8219-f0447c0e64ce
relationship--cb3b9d54-ba89-4af4-8724-3ffde36d101c,attack-pattern--6151cbea-819b-455a-9fa6-99a1cc58797d,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81
relationship--9af1f7b6-d914-4916-9fee-e8ca0e9c8109,attack-pattern--c3d4bdd9-2cfe-4a80-9d0c-07a29ecdce8f,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81
relationship--a1a39cf1-dd69-4110-beac-77bf7acd0c62,attack-pattern--fdc47f44-dd32-4b99-af5f-209f556f63c2,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81
relationship--1bccb381-1d71-4c9a-8785-2ada562234f2,attack-pattern--f232fa7a-025c-4d43-abc7-318e81a73d65,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81
relationship--89d09e89-aded-4194-811b-3da14561e943,attack-pattern--74d2a63f-3c7b-4852-92da-02d8fbab16da,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
relationship--dfc19325-9b8a-4cb7-80fc-dedc2cf8742a,attack-pattern--77532a55-c283-4cd2-bc5d-2d0b65e9d88c,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
relationship--b6ba4fa6-4b31-4824-9885-882274c62716,attack-pattern--cacc40da-4c9e-462c-80d5-fd70a178b12d,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
relationship--de73c6a8-fd33-469d-b7e4-e4f6edd823b9,attack-pattern--a542bac9-7bc1-4da7-9a09-96f69e23cc21,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
relationship--dfeb0053-3513-4622-a5c0-a3554c8970a7,attack-pattern--1126cab1-c700-412f-a510-61f4937bb096,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
relationship--c1c20b2c-0ae0-4ee4-863f-c82624fbcfe1,attack-pattern--b0c74ef9-c61e-4986-88cb-78da98a355ec,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
relationship--5b6ff1ab-eeca-43bc-8cd5-156bd8d3df8a,attack-pattern--f8ef3a62-3f44-40a4-abca-761ab235c436,attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517
relationship--fcc47ea4-e7bf-4d33-8601-f2fe47d2021e,attack-pattern--28170e17-8384-415c-8486-2e6b294cb803,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
relationship--8dda1296-0835-4748-92a3-24b34eb8a084,attack-pattern--11f29a39-0942-4d62-92b6-fe236cf3066e,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0
relationship--baeaf95e-35be-44df-8e65-95480d066550,attack-pattern--824add00-99a1-4b15-9a2d-6c5683b7b497,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
