id,source_id,target_id
relationship--a9c1c589-b5c6-4231-982f-cae0aa41f349,malware--b8fdef82-d2cf-4948-8949-6466357b1be1,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
relationship--eb7a6a3f-cc88-4ed7-8421-4642c1eb1978,malware--fb261c56-b80e-43a9-8351-c84081e7213d,attack-pattern--5372c5fe-f424-4def-bcd5-d3a8e770f07b
relationship--d0b3dc96-7adb-4d38-b3cf-b448535ffa60,malware--72f54d66-675d-4587-9bd3-4ed09f9522e4,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
relationship--2ade8c03-2395-4175-9a22-8541836f27cd,malware--dc5d1a33-62aa-4a0c-aa8c-589b87beb11e,attack-pattern--ac08589e-ee59-4935-8667-d845e38fe579
relationship--521278a2-0924-4ff8-b5a6-03f5f69426b6,malware--e9595678-d269-469e-ae6b-75e49259de63,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9
relationship--53cc6b0b-66ec-4f7d-a725-f65b076b5428,malware--fb575479-14ef-41e9-bfab-0b7cf10bec73,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
relationship--786cf397-d548-48c1-9ba6-9af66450928c,malware--bfd2738c-8b43-43c3-bc9f-d523c8e88bf4,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
relationship--171380bf-41ff-43da-86fe-c131f5f7b97b,malware--b2203c59-4089-4ee4-bfe1-28fa25f0dbfe,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
relationship--e5efa7ca-3e2a-4f08-ac2c-f5f317c9caf7,malware--af2ad3b7-ab6a-4807-91fd-51bcaff9acbb,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
relationship--c5cf4822-a0bf-442a-9943-1937ac45520b,malware--2fb26586-2b53-4b9a-ad4f-2b3bcb9a2421,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2
relationship--6c5378fb-d1d3-4873-bf38-5553df5b8845,malware--705f0783-5f7d-4491-b6b7-9628e6e006d2,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
relationship--c18652f6-e25c-4e01-bec2-04204a50cf23,malware--e8545794-b98c-492b-a5b3-4b5a02682e37,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
relationship--cfa19bf2-af5e-4050-a3d9-fbd9684b867e,malware--b8fdef82-d2cf-4948-8949-6466357b1be1,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2
relationship--f6557436-3564-4128-b93e-2c246ec00834,malware--7ba0fc46-197d-466d-8b9f-f1c64d5d81e5,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
relationship--0fd5d3bc-d736-43c0-b9ec-f1dcd95411a7,malware--7551188b-8f91-4d34-8350-0d0c57b2b913,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2
relationship--1082a68e-549b-47d5-9eb3-e719f01ce42b,malware--f8dfbc54-b070-4224-b560-79aaa5f835bd,attack-pattern--ac08589e-ee59-4935-8667-d845e38fe579
relationship--654d9e83-9501-4de8-8828-1a1ebf36bc8f,malware--e066bf86-9cfb-407a-9d25-26fd5d91e360,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2
relationship--7209b3d7-b8c8-4fc0-89fb-a5448f015540,malware--007b44b6-e4c5-480b-b5b9-56f2081b1b7b,attack-pattern--ac08589e-ee59-4935-8667-d845e38fe579
relationship--1ebc312e-68a4-4119-94c5-79897a5bf5b4,malware--0817aaf2-afea-4c32-9285-4dcd1df5bf14,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9
relationship--60137eb6-ed8c-41ce-bf75-6b45cdafe751,malware--94379dec-5c87-49db-b36e-66abc0b81344,attack-pattern--47f2d673-ca62-47e9-929b-1b0be9657611
relationship--b80516ee-1635-43da-babf-201d9f76c1d8,malware--7e6c2a9d-9dc1-4eb0-b27c-91e8076a9d77,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
relationship--f81df2c8-1edd-4734-a1c9-cca6e4c56607,malware--26fed817-e7bf-41f9-829a-9075ffac45c2,attack-pattern--5372c5fe-f424-4def-bcd5-d3a8e770f07b
relationship--d2fa2382-dcfc-4cff-969b-2b5ec12dc406,malware--0b32ec39-ba61-4864-9ebe-b4b0b73caf9a,attack-pattern--47f2d673-ca62-47e9-929b-1b0be9657611
relationship--e68684df-28b4-4f06-b553-cacf14866605,malware--dc5d1a33-62aa-4a0c-aa8c-589b87beb11e,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2
relationship--c84e0640-82fe-4bb7-b0e1-99b6a746970c,tool--cb69b20d-56d0-41ab-8440-4a4b251614d4,attack-pattern--6495ae23-3ab4-43c5-a94f-5638a2c31fd2
relationship--edaa004e-8239-40d8-a4f0-8849c4f0e87f,malware--8ae43c46-57ef-47d5-a77a-eebb35628db2,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
relationship--e2e91dcc-87b0-4ff8-a6cd-0dfd6a813483,malware--96b08451-b27a-4ff6-893f-790e26393a8e,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
relationship--3bf633d0-5578-4e3a-a599-52f3946f6623,malware--65341f30-bec6-4b1d-8abf-1a5620446c29,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
relationship--41e52a99-9797-4c31-8b3c-7adeed98310a,malware--705f0783-5f7d-4491-b6b7-9628e6e006d2,attack-pattern--ac08589e-ee59-4935-8667-d845e38fe579
relationship--d57d1a71-6ac7-4028-ba73-86e5df98395f,malware--5e595477-2e78-4ce7-ae42-e0b059b17808,attack-pattern--47f2d673-ca62-47e9-929b-1b0be9657611
relationship--3872901c-9601-413e-bf8a-e2fe35772c71,malware--536be338-e2ef-4a6b-afb6-8d5568b91eb2,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
relationship--216b3711-fc70-4029-aaec-a8f021c38bef,tool--13cd9151-83b7-410d-9f98-25d0f0d1d80d,attack-pattern--341e222a-a6e3-4f6f-b69c-831d792b1580
