"kmeasure_id","m_tactic_name","m_tactic_id","ktech_name","kobs_name","kobs_id","ktech_id","depl_req","integration","k_measure_desc","k_measure_name","k_measure_val"
"mact-9a9885eb-589d-4836-8902-a2266e628652",NULL,NULL,NULL,"global_obstate","obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k",NULL,"DEFAULT","Custom Metric  (OSS Scope)","Non-0 COUNT or [Jump in the] RATE of Network Policy config update","Network config update activity",0.001
"mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec",NULL,NULL,NULL,"global_obstate","obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k",NULL,"DEFAULT","Custom Metric  (OSS Scope)","Non-0 COUNT or [Jump in the] RATE of ConfigMap config update","ConfigMap config update activity",0.001
"mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b",NULL,NULL,NULL,"global_obstate","obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k",NULL,"DEFAULT","Custom Metric  (OSS Scope)","Non-0 COUNT or [Jump in the] RATE of Cluster Role definition, binding updates, focusing on --get secrets--, --list secrets--,-- create pods/exec cluster-- permissions","Privilege escalation",0.001
"mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712",NULL,NULL,NULL,"global_obstate","obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k",NULL,"DEFAULT","Custom Metric  (OSS Scope)","Non-0 COUNT or [Jump in the] RATE of RBAC config and resource updates  (e.g. cluster role binding creation) ","RBAC config update activity",0.01
"mact-02528e65-c88d-4434-80ff-99d3b326e001",NULL,NULL,NULL,"global_obstate","obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k",NULL,"DEFAULT","Kubernetes Network Metric (SAAS/OSS Scope)","[Jitter in the] AGGR(IRATE of network package + bytes received,  transmitted, dropped) i.e. connectivity halt across kube-system namespace via cAdvisor","Connectivity jitter container scope",0.025
"mact-26b34fef-27d0-4145-a138-15c4d63f03a2",NULL,NULL,NULL,"global_obstate","obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k",NULL,"DEFAULT","Kubernetes Network Metric (SAAS/OSS Scope)","[Jitter in the] AGGR(IRATE of http request, client rest request) i.e. connectivity halt across kube-system namespace via kubelet-metrics","Connectivity jitter kubelet scope",0.02
"mact-d9088728-947d-4dd0-a3d1-b7692ab3c9f1",NULL,NULL,NULL,"global_obstate","obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k",NULL,"DEFAULT","Kubernetes Network Metric (SAAS/OSS Scope)","[Jump in the] AGGR(RATE  of http request, client rest request durations) i.e. latency across kube-system namespace via kubelet-metrics","Connectivity latency kubelet scope",0.02
"mact-7b411daa-2993-46f7-9883-88ed9410a66c",NULL,NULL,NULL,"global_obstate","obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k",NULL,"DEFAULT","Kubernetes Network Metric (SAAS/OSS Scope)","[Jump in the] AGGR(RATE of received/transmitted package drops) i.e. latency across kube-system namespace via cAdvisor","Connectivity latency container scope",0.1
"mact-3ee44709-485e-4daa-9824-87de6ffa2689","Discovery","TA0007","Access the Kubernetes API server","target_access_the_kubernetes_api_server","obf-0c7a8541-1cf9-4cce-85d8-5824104289cf","ktech-0c7a8541-1cf9-4cce-85d8-5824104289cf","DEFAULT","Kubernetes Metric (OSS Scope)","[Jump in the]  AGGR(RATE of container activity + RATE of request errors)","Container network activity with request errors ",0.2
"mact-fd508d29-eeaa-44c4-a7c3-f73bb807e511","Execution","TA0002","*Sidecar injection","target_sidecar_injection","obf-4e32dea8-742d-474f-bf43-bbfce4656239","ktech-4e32dea8-742d-474f-bf43-bbfce4656239","DEFAULT","Custom Metric (OSS Scope)","Non-0 COUNT or [Jump in the] RATE of POD patch event for manual injection of a profiled container","Side-car injection activity",0.1
