id,name,desc
intrusion-set--0bbdf25b-30ff-4894-a1cd-49260d0dd2d9,APT3,External references: 14 - Revoked state: False
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,APT28,External references: 35 - Revoked state: False
intrusion-set--7113eaa5-ba79-4fb3-b68a-398ee9cd698e,Leviathan,External references: 17 - Revoked state: False
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,Lazarus Group,External references: 12 - Revoked state: False
intrusion-set--93f52415-0fe4-4d3d-896c-fc9b8e88ab90,BRONZE BUTLER,External references: 8 - Revoked state: False
intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,APT18,External references: 8 - Revoked state: False
intrusion-set--c5574ca0-d5a4-490a-b207-e4658e5fd1d7,Scarlet Mimic,External references: 3 - Revoked state: False
intrusion-set--4a2ce82e-1a74-468a-a6fb-bbead541383c,APT37,External references: 14 - Revoked state: False
intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,OilRig,External references: 16 - Revoked state: False
intrusion-set--8f5e8dc7-739d-4f5e-a8a1-a66e004d7063,Cleaver,External references: 6 - Revoked state: False
intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,APT12,External references: 8 - Revoked state: False
intrusion-set--5636b7b3-d99b-4edd-aa05-ee649c1d4ef1,Orangeworm,External references: 3 - Revoked state: False
intrusion-set--17862c7d-9e60-48a0-b48e-da4dc4c3f6b0,Patchwork,External references: 16 - Revoked state: False
intrusion-set--ae41895a-243f-4a65-b99b-d85022326c31,Dust Storm,External references: 3 - Revoked state: False
intrusion-set--ebb73863-fa44-4617-b4cb-b9ed3414eb87,Honeybee,External references: 3 - Revoked state: False
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,Turla,External references: 18 - Revoked state: False
intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,Magic Hound,External references: 23 - Revoked state: False
intrusion-set--a0cb9370-e39b-44d5-9f50-ef78e412b973,Axiom,External references: 8 - Revoked state: False
intrusion-set--03506554-5f37-4f8f-9ce4-0e9f01a1b484,Elderwood,External references: 8 - Revoked state: False
intrusion-set--55033a4d-3ffe-46b2-99b4-2c1541e9ce1c,Carbanak,External references: 9 - Revoked state: False
intrusion-set--8a831aaa-f3e0-47a3-bed8-a9ced744dd12,Dark Caracal,External references: 3 - Revoked state: False
intrusion-set--fb366179-766c-4a4a-afa1-52bff1fd601c,Threat Group-3390,External references: 15 - Revoked state: False
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,menuPass,External references: 19 - Revoked state: False
intrusion-set--a653431d-6a5e-4600-8ad3-609b5af57064,Deep Panda,External references: 12 - Revoked state: False
intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,APT32,External references: 11 - Revoked state: False
intrusion-set--85403903-15e0-4f9f-9be4-a259ecad4022,FIN5,External references: 5 - Revoked state: False
intrusion-set--2a158b0a-7ef8-43cb-9985-bf34d1e12050,Naikon,External references: 5 - Revoked state: False
intrusion-set--fbd29c89-18ba-4c2d-b792-51c0adee049f,APT33,External references: 8 - Revoked state: False
intrusion-set--c416b28c-103b-4df1-909e-78089a7e0e5f,RTM,External references: 3 - Revoked state: False
intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,APT1,External references: 7 - Revoked state: False
intrusion-set--dc6fe6ee-04c2-49be-ba3d-f38d2463c02a,Cobalt Group,External references: 16 - Revoked state: False
intrusion-set--76565741-3452-4069-ab08-80c0ea95bbeb,SilverTerrier,External references: 4 - Revoked state: False
intrusion-set--277d2f87-2ae5-4730-a3aa-50c1fdff9656,Strider,External references: 6 - Revoked state: False
